EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
121751,C,Thu,0,271.6923076923077
121751,C,Thu,1,140.53846153846155
121751,C,Thu,2,86.3076923076923
121751,C,Thu,3,55.53846153846154
121751,C,Thu,4,48.69230769230769
121751,C,Thu,5,56.38461538461539
121751,C,Thu,6,122.76923076923077
121751,C,Thu,7,366.2307692307692
121751,C,Thu,8,956.0769230769231
121751,C,Thu,9,780.6923076923077
121751,C,Thu,10,648.3846153846154
121751,C,Thu,11,683.0769230769231
121751,C,Thu,12,797.3076923076923
121751,C,Thu,13,726.3846153846154
121751,C,Thu,14,798.3846153846154
121751,C,Thu,15,828.0
121751,C,Thu,16,974.0
121751,C,Thu,17,1461.3846153846155
121751,C,Thu,18,1735.3846153846155
121751,C,Thu,19,1499.6923076923076
121751,C,Thu,20,941.3076923076923
121751,C,Thu,21,552.0769230769231
121751,C,Thu,22,453.38461538461536
121751,C,Thu,23,382.6923076923077
121751,C,Tue,0,238.76923076923077
121751,C,Tue,1,93.92307692307692
121751,C,Tue,2,54.38461538461539
121751,C,Tue,3,38.15384615384615
121751,C,Tue,4,32.76923076923077
121751,C,Tue,5,32.69230769230769
121751,C,Tue,6,76.61538461538461
121751,C,Tue,7,298.15384615384613
121751,C,Tue,8,873.1538461538462
121751,C,Tue,9,689.6923076923077
121751,C,Tue,10,560.0
121751,C,Tue,11,621.7692307692307
121751,C,Tue,12,723.3076923076923
121751,C,Tue,13,650.3076923076923
121751,C,Tue,14,732.7692307692307
121751,C,Tue,15,768.0769230769231
121751,C,Tue,16,862.0
121751,C,Tue,17,1345.6153846153845
121751,C,Tue,18,1676.076923076923
121751,C,Tue,19,1408.3076923076924
121751,C,Tue,20,870.8461538461538
121751,C,Tue,21,507.84615384615387
121751,C,Tue,22,418.15384615384613
121751,C,Tue,23,345.38461538461536
121751,C,Wed,0,230.58333333333334
121751,C,Wed,1,87.0
121751,C,Wed,2,47.083333333333336
121751,C,Wed,3,32.75
121751,C,Wed,4,27.916666666666668
121751,C,Wed,5,28.25
121751,C,Wed,6,91.0
121751,C,Wed,7,328.8333333333333
121751,C,Wed,8,914.4166666666666
121751,C,Wed,9,750.0
121751,C,Wed,10,594.25
121751,C,Wed,11,637.8333333333334
121751,C,Wed,12,774.5
121751,C,Wed,13,720.1666666666666
121751,C,Wed,14,824.0
121751,C,Wed,15,843.3333333333334
121751,C,Wed,16,963.1666666666666
121751,C,Wed,17,1476.0833333333333
121751,C,Wed,18,1868.0833333333333
121751,C,Wed,19,1615.8333333333333
121751,C,Wed,20,977.6666666666666
121751,C,Wed,21,521.9166666666666
121751,C,Wed,22,454.25
121751,C,Wed,23,399.6666666666667
121751,D,Fri,0,109.23076923076923
121751,D,Fri,1,45.84615384615385
121751,D,Fri,2,24.384615384615383
121751,D,Fri,3,20.46153846153846
121751,D,Fri,4,42.38461538461539
121751,D,Fri,5,124.07692307692308
121751,D,Fri,6,278.38461538461536
121751,D,Fri,7,1346.0
121751,D,Fri,8,2084.3076923076924
121751,D,Fri,9,1313.6153846153845
121751,D,Fri,10,888.7692307692307
121751,D,Fri,11,745.9230769230769
121751,D,Fri,12,772.2307692307693
121751,D,Fri,13,880.8461538461538
121751,D,Fri,14,1048.2307692307693
121751,D,Fri,15,915.0
121751,D,Fri,16,844.5384615384615
121751,D,Fri,17,974.6153846153846
121751,D,Fri,18,1078.076923076923
